epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,837.232,1.40788,0.8173,0.91399,0.70667,0.6563,0.69174,0.3701,1.64756,1.13658,0.92603,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,857.047,1.35347,0.78112,0.90278,0.67874,0.68098,0.67752,0.37519,1.64212,1.10764,0.9263,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,877.093,1.35486,0.78897,0.9065,0.7204,0.63352,0.67083,0.36068,1.67543,1.074,0.93249,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,896.735,1.32818,0.76448,0.8986,0.68432,0.63789,0.65585,0.34972,1.70631,1.10366,0.93564,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,917.131,1.32042,0.76725,0.89546,0.65544,0.65694,0.66879,0.36711,1.66503,1.1102,0.92815,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,937.652,1.30432,0.7488,0.89311,0.74035,0.62255,0.68558,0.36861,1.67183,1.0798,0.92964,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,957.348,1.30446,0.75293,0.89277,0.69158,0.64341,0.66802,0.371,1.63282,1.1062,0.92255,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,976.667,1.28793,0.74158,0.88808,0.68324,0.62993,0.67646,0.37814,1.64878,1.10374,0.92657,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,996.221,1.282,0.73335,0.8878,0.72718,0.62453,0.69,0.38392,1.66637,1.09804,0.92987,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,1016.23,1.26408,0.72312,0.88638,0.69733,0.62993,0.67608,0.37658,1.65939,1.09995,0.92721,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
